LAT,LON,SID,USA_WIND,CATEGORY,NSEC_TIME,ISO_TIME
25.3,267.7,1998233N25268,25.0,TD,903679200000000000,1998-08-21 06:00:00
25.306,266.865,1998233N25268,27.0,TD,903690000000000000,1998-08-21 09:00:00
25.4,266.2,1998233N25268,30.0,TD,903700800000000000,1998-08-21 12:00:00
25.647,265.805,1998233N25268,35.0,TS,903711600000000000,1998-08-21 15:00:00
26.0,265.5,1998233N25268,40.0,TS,903722400000000000,1998-08-21 18:00:00
26.392,265.08002,1998233N25268,42.0,TS,903733200000000000,1998-08-21 21:00:00
26.8,264.6,1998233N25268,45.0,TS,903744000000000000,1998-08-22 00:00:00
27.18,264.046,1998233N25268,52.0,TS,903754800000000000,1998-08-22 03:00:00
27.5,263.5,1998233N25268,60.0,TS,903765600000000000,1998-08-22 06:00:00
27.739,263.046,1998233N25268,45.0,TS,903776400000000000,1998-08-22 09:00:00
27.8,262.9,1998233N25268,40.0,TS,903780000000000000,1998-08-22 10:00:00
27.9,262.6,1998233N25268,35.0,TS,903787200000000000,1998-08-22 12:00:00
28.101,262.22,1998233N25268,32.0,TD,903798000000000000,1998-08-22 15:00:00
28.3,261.9,1998233N25268,30.0,TD,903808800000000000,1998-08-22 18:00:00
28.415,261.592,1998233N25268,27.0,TD,903819600000000000,1998-08-22 21:00:00
28.5,261.3,1998233N25268,25.0,TD,903830400000000000,1998-08-23 00:00:00
28.607,261.0,1998233N25268,22.0,TD,903841200000000000,1998-08-23 03:00:00
28.7,260.7,1998233N25268,20.0,TD,903852000000000000,1998-08-23 06:00:00
28.742,260.40698,1998233N25268,20.0,TD,903862800000000000,1998-08-23 09:00:00
28.8,260.1,1998233N25268,20.0,TD,903873600000000000,1998-08-23 12:00:00
28.935,259.75,1998233N25268,20.0,TD,903884400000000000,1998-08-23 15:00:00
29.1,259.4,1998233N25268,20.0,TD,903895200000000000,1998-08-23 18:00:00
29.255,259.088,1998233N25268,20.0,TD,903906000000000000,1998-08-23 21:00:00
29.4,258.8,1998233N25268,20.0,TD,903916800000000000,1998-08-24 00:00:00
21.6,266.5,1998244N22267,30.0,TD,904564800000000000,1998-08-31 12:00:00
22.003,266.315,1998244N22267,32.0,TD,904575600000000000,1998-08-31 15:00:00
22.4,266.2,1998244N22267,35.0,TS,904586400000000000,1998-08-31 18:00:00
22.792,266.20502,1998244N22267,35.0,TS,904597200000000000,1998-08-31 21:00:00
23.2,266.3,1998244N22267,35.0,TS,904608000000000000,1998-09-01 00:00:00
23.642,266.435,1998244N22267,37.0,TS,904618800000000000,1998-09-01 03:00:00
24.1,266.6,1998244N22267,40.0,TS,904629600000000000,1998-09-01 06:00:00
24.557,266.728,1998244N22267,42.0,TS,904640400000000000,1998-09-01 09:00:00
25.0,266.9,1998244N22267,45.0,TS,904651200000000000,1998-09-01 12:00:00
25.392,267.148,1998244N22267,47.0,TS,904662000000000000,1998-09-01 15:00:00
25.8,267.5,1998244N22267,50.0,TS,904672800000000000,1998-09-01 18:00:00
