Year/Month,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec,Annual
1998,0,0,0,0,0,0,1,3,5,2,3,2,16
1999,0,0,0,2,0,1,4,6,6,2,1,0,22
2000,0,0,0,0,2,0,5,6,5,2,2,1,23
2001,0,0,0,0,1,2,5,6,5,3,1,3,26
2002,1,1,0,0,1,3,5,6,4,2,2,1,26
2003,1,0,0,1,2,2,2,5,3,3,2,0,21
2004,0,0,0,1,2,5,2,8,3,3,3,2,29
2005,1,0,1,1,1,0,5,5,5,2,2,0,23
2006,0,0,0,0,1,2,2,7,3,4,2,2,23
2007,0,0,0,1,1,0,3,4,5,6,4,0,24
2008,0,0,0,1,4,1,2,4,4,2,3,1,22
2009,0,0,0,0,2,2,2,5,7,3,1,0,22
2010,0,0,1,0,0,0,2,5,4,2,0,0,14
2011,0,0,0,0,2,3,4,3,7,1,0,1,21
2012,0,0,1,0,1,4,4,5,3,5,1,1,25
2013,1,1,0,0,0,4,3,6,8,6,2,0,31
2014,2,1,0,2,0,2,5,1,5,2,1,2,23
2015,1,1,2,1,2,2,3,4,5,4,1,1,27
